campaign_id,project_id,project_title,project_url,project_context
26119,369893-48088,FundTrack - Approve Before Spend,https://cardano.ideascale.com/a/dtd/FundTrack-Approve-Before-Spend/369893-48088,"Donors, UN & NGOs receive accounts after funds are spent, when the horse is out of the barn. Leaving them few options to control RoI."
26119,369368-48088,Audit via DAO,https://cardano.ideascale.com/a/dtd/Audit-via-DAO/369368-48088,We need more audit
26119,369299-48088,WITHDRAW PLEASE,https://cardano.ideascale.com/a/dtd/WITHDRAW-PLEASE/369299-48088,-
26119,367602-48088,Smart Contract Audit Token SCAT DAO,https://cardano.ideascale.com/a/dtd/Smart-Contract-Audit-Token-SCAT-DAO/367602-48088,Projects receive funding with no clearly defined process to monitor them and ensure funding is properly spent and proposals are completed.
26119,367498-48088,PACE: Proposal completion reports,https://cardano.ideascale.com/a/dtd/PACE-Proposal-completion-reports/367498-48088,The community currently lacks a way to easily audit the success and outcome of funded proposals
26119,367365-48088,PACE: Proposal media content,https://cardano.ideascale.com/a/dtd/PACE-Proposal-media-content/367365-48088,"Proposers lack a way to add media (interviews, demos, article) after the finalizing proposal stage and after funding to help auditing"
26119,367298-48088,Financial Audit Taskforce,https://cardano.ideascale.com/a/dtd/Financial-Audit-Taskforce/367298-48088,There is currently no financial audit being performed on funded proposals. We want to ensure funds are spent according to budgets as voted.
26119,367297-48088,The Catalyst Story by Adatruth,https://cardano.ideascale.com/a/dtd/The-Catalyst-Story-by-Adatruth/367297-48088,"Voters need accessible, insightful + digestible educational resources to learn about 150+ funded Catalyst project's progress and the system."
26119,367266-48088,PACE: Proposal progress updates,https://cardano.ideascale.com/a/dtd/PACE-Proposal-progress-updates/367266-48088,Funded proposals need public facing progress updates to inform the community and help them audit their progress
26119,366965-48088,Treasury & Catalyst Proposal API,https://cardano.ideascale.com/a/dtd/Treasury-Catalyst-Proposal-API/366965-48088,"No public facing directory of all Catalyst proposals and funded projects: limits the potential to audit, iterate, and innovate."
26119,366865-48088,"Auditing African Proposals, by WADA",https://cardano.ideascale.com/a/dtd/Auditing-African-Proposals-by-WADA/366865-48088,Difficulty in auditing proposals in a growing community means scalability is affected
26119,366707-48088,Distributed Auditability,https://cardano.ideascale.com/a/dtd/Distributed-Auditability/366707-48088,"No common audit standards in funded proposals.

No consistent evaluation of funded proposals.

Funded reporting is manual."
