campaign_id,campaign_title,campaign_url,campaign_context
26094,F6: Developer ecosystem,https://cardano.ideascale.com/a/campaign-home/26094,How can we create a positive developer experience that helps the developer focus on building successful apps?
26103,F6: DApps & Integrations,https://cardano.ideascale.com/a/campaign-home/26103,What applications will provide the most value for end users in 2021?
26104,F6: Distributed decision making,https://cardano.ideascale.com/a/campaign-home/26104,How can we help the Catalyst community to get better at distributed decision making within the next two Catalyst rounds?
26105,F6: Proposer outreach,https://cardano.ideascale.com/a/campaign-home/26105,How can we encourage entrepreneurs from outside the Cardano ecosystem to submit proposals to Catalyst in the next two funds?
26106,F6: Catalyst value onboarding,https://cardano.ideascale.com/a/campaign-home/26106,How can we encourage meaningful participation in Project Catalyst from community members in the next two funds?
26107,F6: Metadata challenge,https://cardano.ideascale.com/a/campaign-home/26107,How can we utilize transaction metadata to solve real world problems?
26108,"F6: Grow Africa, Grow Cardano",https://cardano.ideascale.com/a/campaign-home/26108,How do we seed and grow Cardano in Africa?
26109,F6: Scale-UP Cardano's DeFi Ecosystem,https://cardano.ideascale.com/a/campaign-home/26109,How can we encourage DeFi teams to build/deploy open finance solutions on Cardano in the next 6 months?
26110,F6: Cardano Emerging Threat Alarm,https://cardano.ideascale.com/a/campaign-home/26110,How can we help stakeholders identify serious emerging systemic threats for the Cardano blockchain before a threat overcomes the system?
26111,F6: Multilingual resources,https://cardano.ideascale.com/a/campaign-home/26111,How can we motivate non english speakers to learn and grow Cardano ecosystem in the next 3-6 months?
26112,F6: DeFi and Microlending for Africa,https://cardano.ideascale.com/a/campaign-home/26112,How can we enable the creation of micro-lending and Defi dApp solutions that fits the African setting?
26113,F6: DLT Entrepreneurship Toolbox,https://cardano.ideascale.com/a/campaign-home/26113,How can early stage entrepreneurs develop their skills to execute & communicate great ideas so voters/stakeholders value the project?
26114,F6: Partnerships for Global Adoption,https://cardano.ideascale.com/a/campaign-home/26114,"How can Cardano enter in global partnerships with United Nations Development Programme and World Bank Group, to leverage mass adoption?"
26115,F6: NFT Business models,https://cardano.ideascale.com/a/campaign-home/26115,What non-Art use cases of NFTs can distinguish Cardano as the blockchain of choice for NFT based businesses?
26116,F6: Atala PRISM DID Mass-Scale Adoption,https://cardano.ideascale.com/a/campaign-home/26116,What will drive mass-scale adoption of decentralized IDs on Cardano?
26117,F6: Disaster: When all is at stake,https://cardano.ideascale.com/a/campaign-home/26117,"How can we help SPOs tackle risks & plan, develop and participate in disaster recovery tests in a safe hiccup-free and decentralized manner?"
26118,F6: Scale-UP Cardano's Community Hubs,https://cardano.ideascale.com/a/campaign-home/26118,How do we encourage Local Community Hubs to drive adoption and awareness of Cardano in the next 6 months?
26119,F6: Improve and Grow Auditability,https://cardano.ideascale.com/a/campaign-home/26119,"How to make the auditing process of funded proposals efficient, distributed and transparent?"
26120,F6: Fund7 challenge setting,https://cardano.ideascale.com/a/campaign-home/26120,What Challenges should the community prioritize to address in Fund7?
25622,Project Catalyst Problem Sensing ,https://cardano.ideascale.com/a/campaign-home/25622,Understanding problems with Project Catalyst is our key to making it successful. If we don't understand the nuanced experience we are attempting to transform...
